width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay,BER
1.3,3.72,3513,2.25,388,0.8,1.28,0.45,22.75,584.25,16,80.69,3.4131E-17
1.3,3.72,3513,2.25,388,0.8,1.28,1.15,20.25,176.5,74,99.893,0.010583
1.3,3.72,3513,2.25,388,0.8,1.28,0.8,45.75,287.75,63.5,109.32,0.00070401
1.3,3.72,3513,2.25,388,0.8,1.28,1.1,9,225,43,91.422,0.00001878
1.3,3.72,3513,2.25,388,0.8,1.28,1.2,89.5,547.25,61,118.878,4.2219E-19
1.3,3.72,3513,2.25,388,0.8,1.28,1.35,47.5,402.25,46.5,99.113,1.3942E-12
1.3,3.72,3513,2.25,388,0.8,1.28,0.65,65.75,454,30.5,90.756,2.4696E-29
1.3,3.72,3513,2.25,388,0.8,1.28,0.95,27.75,387.25,32.5,89.272,3.3597E-23
1.3,3.72,3513,2.25,388,0.8,1.28,0.75,60.25,314,55,102.7,0.0000050739
1.3,3.72,3513,2.25,388,0.8,1.28,0.6,13.75,128.25,18.5,84.187,0.0000031959
2.1,2.14,3759,4.9,418,0.64,0.62,0.7,20,332.75,56.5,-1097.527,0.065394
2.1,2.14,3759,4.9,418,0.64,0.62,1.25,36.25,380.5,72.5,-1273.106,0.021077
2.1,2.14,3759,4.9,418,0.64,0.62,0.8,17.5,96.5,25.5,-125.72,0.072973
2.1,2.14,3759,4.9,418,0.64,0.62,0.55,38.75,251.75,50,-778.975,0.057744
2.1,2.14,3759,4.9,418,0.64,0.62,1.1,11.25,160.5,66,211.967,0.064633
2.1,2.14,3759,4.9,418,0.64,0.62,0.5,78.5,590.5,37.5,221.444,0.0074048
2.1,2.14,3759,4.9,418,0.64,0.62,1.3,35.5,191,20.5,128.999,0.070241
2.1,2.14,3759,4.9,418,0.64,0.62,0.95,16.75,499,14.5,178.45,0.00046482
2.1,2.14,3759,4.9,418,0.64,0.62,1.1,51.5,452.5,34,199.479,0.00066599
2.1,2.14,3759,4.9,418,0.64,0.62,0.85,32.75,427.25,48,-1054.22,0.02958
4.9,2.54,2844,0.95,583,0.86,1.82,0.75,79.75,488.5,25.5,75.562,0.000055773
4.9,2.54,2844,0.95,583,0.86,1.82,1.2,65.5,393.5,45,85.919,0.000059059
4.9,2.54,2844,0.95,583,0.86,1.82,0.55,30.25,200.75,70.5,-538.929,0.01813
4.9,2.54,2844,0.95,583,0.86,1.82,0.8,28.5,259,66.5,-721.078,0.0026764
4.9,2.54,2844,0.95,583,0.86,1.82,0.6,14.75,540,16,-1121.835,0.0031957
4.9,2.54,2844,0.95,583,0.86,1.82,1,16,160.25,38.5,-279.742,0.0010455
4.9,2.54,2844,0.95,583,0.86,1.82,1.35,15.75,340,59.5,-1480.499,0.000067269
4.9,2.54,2844,0.95,583,0.86,1.82,1.05,108.75,568,31,77.914,0.000000056336
4.9,2.54,2844,0.95,583,0.86,1.82,0.4,23,328.75,22.5,-655.572,0.013692
4.9,2.54,2844,0.95,583,0.86,1.82,1.15,16,113.75,52,-179.292,0.010781
2.95,2.08,2451,3.25,546,0.74,0.42,1,39.75,399,64.5,120.578,0.0000030055
2.95,2.08,2451,3.25,546,0.74,0.42,0.75,31,243.75,37.5,105.602,0.000015982
2.95,2.08,2451,3.25,546,0.74,0.42,1.25,19.5,476.5,34,104.089,3.0954E-15
2.95,2.08,2451,3.25,546,0.74,0.42,0.65,15.75,98.75,13,-136.576,0.051129
2.95,2.08,2451,3.25,546,0.74,0.42,1.2,17.25,235.5,51.5,110.215,0.0004129
2.95,2.08,2451,3.25,546,0.74,0.42,0.5,9.5,562.75,58.5,117.712,9.5078E-10
2.95,2.08,2451,3.25,546,0.74,0.42,1.35,96.75,515,26.5,102.606,9.8172E-15
2.95,2.08,2451,3.25,546,0.74,0.42,0.6,30,367,69,126.761,0.0003357
2.95,2.08,2451,3.25,546,0.74,0.42,0.95,53.25,295.5,21,97.506,1.2418E-10
2.95,2.08,2451,3.25,546,0.74,0.42,0.85,28.25,173,47,106.501,0.0013367
2.25,3.26,2401,2.55,523,1.52,1.72,1.15,53.25,352.25,70,81.192,0.0000000070983
2.25,3.26,2401,2.55,523,1.52,1.72,0.5,38.75,193.5,52,72.484,0.010724
2.25,3.26,2401,2.55,523,1.52,1.72,0.8,62,429.5,61,78.861,0.000000003296
2.25,3.26,2401,2.55,523,1.52,1.72,1.25,27.25,335.5,25.5,65.49,0.00014116
2.25,3.26,2401,2.55,523,1.52,1.72,0.95,18.25,133.75,38,-230.664,0.000080004
2.25,3.26,2401,2.55,523,1.52,1.72,1.3,26.75,530.5,34.5,69.085,0.0000000015147
2.25,3.26,2401,2.55,523,1.52,1.72,1,29.75,266.25,17,60.243,0.087073
2.25,3.26,2401,2.55,523,1.52,1.72,0.5,8.5,485.75,24,-1012.113,0.00017312
2.25,3.26,2401,2.55,523,1.52,1.72,0.85,103.25,595,64.5,86.741,1.3087E-41
2.25,3.26,2401,2.55,523,1.52,1.72,0.65,13.25,126.5,44,-214.812,0.00022237
2.95,4.62,3941,4.3,515,0.82,1.8,0.8,15,302.25,24,-587.444,0.000000030135
2.95,4.62,3941,4.3,515,0.82,1.8,1.05,9.25,374.5,16.5,-745.452,0.000034313
2.95,4.62,3941,4.3,515,0.82,1.8,1.35,57,395.75,70.5,-1569.27,0.00027413
2.95,4.62,3941,4.3,515,0.82,1.8,0.95,33.75,214,58,-565.308,0.0087034
2.95,4.62,3941,4.3,515,0.82,1.8,0.5,24.5,277.75,68.5,-766.707,0.0045536
2.95,4.62,3941,4.3,515,0.82,1.8,1.3,37.75,591,48,103.162,8.9708E-11
2.95,4.62,3941,4.3,515,0.82,1.8,0.75,17.25,129.5,34,-205.47,0.001103
2.95,4.62,3941,4.3,515,0.82,1.8,1.15,28,151,30.5,95.188,0.000059786
2.95,4.62,3941,4.3,515,0.82,1.8,0.4,50.25,507.5,42.5,102.559,2.8962E-11
2.95,4.62,3941,4.3,515,0.82,1.8,0.65,91,494.5,56,121.886,0.000000037659
4.7,2.22,2004,4.7,319,1.02,1.2,1.2,67.5,466.5,51,72.621,7.2544E-18
4.7,2.22,2004,4.7,319,1.02,1.2,1.2,32.25,347.5,28.5,59.981,1.0696E-15
4.7,2.22,2004,4.7,319,1.02,1.2,0.95,31,438,31,59.666,6.4846E-19
4.7,2.22,2004,4.7,319,1.02,1.2,0.65,24.75,192.75,21.5,54.991,0.014928
4.7,2.22,2004,4.7,319,1.02,1.2,1.35,14.25,329.75,43.5,64.511,7.6177E-11
4.7,2.22,2004,4.7,319,1.02,1.2,0.55,89,501.25,56.5,88.392,1.6205E-23
4.7,2.22,2004,4.7,319,1.02,1.2,0.45,9,96.5,15,-158.27,0.0020265
