width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay
1.3,3.72,3513.0,2.25,388.0,0.8,1.28,0.85,61.25,530.5,37.0, 94.722
1.3,3.72,3513.0,2.25,388.0,0.8,1.28,1.15,39.5,407.5,73.5, 116.569
1.3,3.72,3513.0,2.25,388.0,0.8,1.28,1.15,42.5,229.75,56.5, 99.306
1.3,3.72,3513.0,2.25,388.0,0.8,1.28,0.45,10.75,189.0,15.0, -119.797
2.1,2.14,3759.0,4.9,418.0,0.64,0.62,0.85,56.0,292.5,18.5, -932.873
2.1,2.14,3759.0,4.9,418.0,0.64,0.62,1.05,39.25,527.5,52.5, 233.824
2.1,2.14,3759.0,4.9,418.0,0.64,0.62,0.6,9.0,108.25,34.5, -154.389
2.1,2.14,3759.0,4.9,418.0,0.64,0.62,1.35,60.75,453.5,75.0, -1095.874
4.9,2.54,2844.0,0.95,583.0,0.86,1.82,0.95,39.0,386.25,45.5, 85.418
4.9,2.54,2844.0,0.95,583.0,0.86,1.82,0.8,28.0,228.25,63.5, -626.213
4.9,2.54,2844.0,0.95,583.0,0.86,1.82,1.35,39.25,204.0,21.5, -378.182
4.9,2.54,2844.0,0.95,583.0,0.86,1.82,0.6,31.5,559.75,33.0, 81.262
2.95,2.08,2451.0,3.25,546.0,0.74,0.42,1.1,24.75,138.5,20.5, 98.010
2.95,2.08,2451.0,3.25,546.0,0.74,0.42,0.5,25.25,248.25,30.0, 102.486
2.95,2.08,2451.0,3.25,546.0,0.74,0.42,1.4,16.0,341.25,71.0, 121.007
2.95,2.08,2451.0,3.25,546.0,0.74,0.42,0.9,60.0,536.25,55.5, 123.561
2.25,3.26,2401.0,2.55,523.0,1.52,1.72,0.85,16.25,546.5,20.5, -1145.488
2.25,3.26,2401.0,2.55,523.0,1.52,1.72,1.0,88.0,448.75,61.5, 81.430
2.25,3.26,2401.0,2.55,523.0,1.52,1.72,1.25,15.5,149.75,57.5, 75.658
2.25,3.26,2401.0,2.55,523.0,1.52,1.72,0.5,37.5,269.25,28.0, 66.268
2.95,4.62,3941.0,4.3,515.0,0.82,1.8,0.85,98.5,502.75,52.0, 115.215
2.95,4.62,3941.0,4.3,515.0,0.82,1.8,0.6,20.5,341.25,24.5, 93.660
2.95,4.62,3941.0,4.3,515.0,0.82,1.8,1.15,16.0,98.25,70.0, -142.983
2.95,4.62,3941.0,4.3,515.0,0.82,1.8,1.3,21.0,228.5,36.0, -418.785
